2018-03-31 22:13:17	LDR0 MED: 81.60
2018-03-31 22:13:17	LDR0 MED: 81.50
2018-03-31 22:13:18	LDR0 MED: 81.30
2018-03-31 22:13:18	LDR0 MED: 80.90
2018-03-31 22:13:19	LDR0 MED: 80.80
2018-03-31 22:13:19	LDR0 MED: 80.60
2018-03-31 22:13:20	LDR0 MED: 80.60
2018-03-31 22:13:20	LDR0 MED: 80.90
2018-03-31 22:13:21	LDR0 MED: 81.30
2018-03-31 22:13:21	LDR0 MED: 81.40
2018-03-31 22:13:22	LDR0 MED: 81.40
2018-03-31 22:13:22	LDR0 MED: 81.40
2018-03-31 22:13:23	LDR0 MED: 81.40
2018-03-31 22:13:23	LDR0 MED: 81.70
2018-03-31 22:13:24	LDR0 MED: 81.70
2018-03-31 22:13:24	LDR0 MED: 81.60
2018-03-31 22:13:25	LDR0 MED: 81.50
2018-03-31 22:13:25	LDR0 MED: 81.30
2018-03-31 22:13:26	LDR0 MED: 80.80
2018-03-31 22:13:26	LDR0 MED: 80.80
2018-03-31 22:13:27	LDR0 MED: 81.00
2018-03-31 22:13:27	LDR0 MED: 81.00
2018-03-31 22:13:28	LDR0 MED: 81.20
2018-03-31 22:13:28	LDR0 MED: 81.40
2018-03-31 22:13:29	LDR0 MED: 81.60
2018-03-31 22:13:29	LDR0 MED: 81.50
2018-03-31 22:13:30	LDR0 MED: 81.70
2018-03-31 22:13:30	LDR0 MED: 81.80
2018-03-31 22:13:31	LDR0 MED: 81.50
2018-03-31 22:13:31	LDR0 MED: 81.50
2018-03-31 22:13:32	LDR0 MED: 81.30
2018-03-31 22:13:32	LDR0 MED: 81.40
2018-03-31 22:13:33	LDR0 MED: 81.20
2018-03-31 22:13:33	LDR0 MED: 80.70
2018-03-31 22:13:34	LDR0 MED: 80.50
2018-03-31 22:13:34	LDR0 MED: 81.00
2018-03-31 22:13:35	LDR0 MED: 82.20
2018-03-31 22:13:35	LDR0 MED: 82.40
2018-03-31 22:13:36	LDR0 MED: 82.40
2018-03-31 22:13:36	LDR0 MED: 82.50
2018-03-31 22:13:37	LDR0 MED: 82.40
2018-03-31 22:13:37	LDR0 MED: 82.70
2018-03-31 22:13:38	LDR0 MED: 82.50
2018-03-31 22:13:38	LDR0 MED: 81.20
2018-03-31 22:13:39	LDR0 MED: 80.90
2018-03-31 22:13:39	LDR0 MED: 80.80
2018-03-31 22:13:40	LDR0 MED: 81.20
2018-03-31 22:13:40	LDR0 MED: 81.00
2018-03-31 22:13:41	LDR0 MED: 81.00
2018-03-31 22:13:41	LDR0 MED: 81.20
2018-03-31 22:13:42	LDR0 MED: 81.30
2018-03-31 22:13:42	LDR0 MED: 82.40
2018-03-31 22:13:43	LDR0 MED: 82.50
2018-03-31 22:13:43	LDR0 MED: 82.70
2018-03-31 22:13:44	LDR0 MED: 81.40
2018-03-31 22:13:44	LDR0 MED: 81.20
2018-03-31 22:13:45	LDR0 MED: 81.10
2018-03-31 22:13:45	LDR0 MED: 81.10
2018-03-31 22:13:46	LDR0 MED: 81.10
2018-03-31 22:13:46	LDR0 MED: 81.20
2018-03-31 22:13:47	LDR0 MED: 81.30
2018-03-31 22:13:47	LDR0 MED: 81.10
2018-03-31 22:13:48	LDR0 MED: 80.90
2018-03-31 22:13:48	LDR0 MED: 80.90
2018-03-31 22:13:49	LDR0 MED: 80.90
